"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/10/2025","10/10/2025","10/14/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.747979","$26.74","($20.00)"
"10/10/2025","10/10/2025","10/14/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.907194","$55.12","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.305126","$245.80","($75.00)"
"10/10/2025","10/10/2025","10/13/2025","","ACH Deposit","ACH","","","$660.00"
"10/9/2025","10/9/2025","10/10/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.12179","$615.81","($75.00)"
"10/9/2025","10/9/2025","10/10/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.739404","$27.05","($20.00)"
"10/9/2025","10/9/2025","10/10/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.897988","$55.68","($50.00)"
"10/9/2025","10/9/2025","10/10/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.299706","$250.24","($75.00)"
"10/8/2025","10/8/2025","10/9/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121245","$618.58","($75.00)"
"10/8/2025","10/8/2025","10/9/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.734214","$27.24","($20.00)"
"10/8/2025","10/8/2025","10/9/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.894374","$55.90","($50.00)"
"10/8/2025","10/8/2025","10/9/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.298714","$251.08","($75.00)"
"10/7/2025","10/7/2025","10/8/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.12206","$614.45","($75.00)"
"10/7/2025","10/7/2025","10/8/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.733944","$27.25","($20.00)"
"10/7/2025","10/7/2025","10/8/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.897443","$55.71","($50.00)"
"10/7/2025","10/7/2025","10/8/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.301416","$248.83","($75.00)"
"10/6/2025","10/6/2025","10/7/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121354","$618.03","($75.00)"
"10/6/2025","10/6/2025","10/7/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.730769","$27.37","($20.00)"
"10/6/2025","10/6/2025","10/7/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.89463","$55.89","($50.00)"
"10/6/2025","10/6/2025","10/7/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.299321","$250.57","($75.00)"
"10/3/2025","10/3/2025","10/6/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122061","$614.45","($75.00)"
"10/3/2025","10/3/2025","10/6/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.72704","$27.51","($20.00)"
"10/3/2025","10/3/2025","10/6/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.891106","$56.11","($50.00)"
"10/3/2025","10/3/2025","10/6/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.301326","$248.90","($75.00)"
"10/2/2025","10/2/2025","10/3/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.121923","$615.14","($75.00)"
"10/2/2025","10/2/2025","10/3/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.730994","$27.36","($20.00)"
"10/2/2025","10/2/2025","10/3/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.897263","$55.72","($50.00)"
"10/2/2025","10/2/2025","10/3/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.300956","$249.21","($75.00)"
"10/2/2025","10/2/2025","10/3/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment","Buy","0.02903","$615.21","($17.86)"
"10/1/2025","10/1/2025","10/1/2025","VOO","Cash Div: R/D 2025-09-29 P/D 2025-10-01 - 10.261997 shares at 1.74","CDIV","","","$17.86"
"10/1/2025","10/1/2025","10/2/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122112","$614.19","($75.00)"
"10/1/2025","10/1/2025","10/2/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.728066","$27.47","($20.00)"
"10/1/2025","10/1/2025","10/2/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.894454","$55.90","($50.00)"
"10/1/2025","10/1/2025","10/2/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.302358","$248.05","($75.00)"
"10/1/2025","10/1/2025","10/2/2025","","ACH Deposit","ACH","","","$1,400.00"
"9/30/2025","9/30/2025","9/30/2025","","Interest Payment","INT","","","$1.27"
"9/30/2025","9/30/2025","10/1/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123106","$609.23","($75.00)"
"9/30/2025","9/30/2025","10/1/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.737191","$27.13","($20.00)"
"9/30/2025","9/30/2025","10/1/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.902282","$55.42","($50.00)"
"9/30/2025","9/30/2025","10/1/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.305411","$245.57","($75.00)"
"9/30/2025","9/30/2025","10/1/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment","Buy","3.620536","$27.09","($98.08)"
"9/29/2025","9/29/2025","9/29/2025","SCHD","Cash Div: R/D 2025-09-24 P/D 2025-09-29 - 376.656474 shares at 0.2604","CDIV","","","$98.08"
"9/29/2025","9/29/2025","9/30/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122994","$609.78","($75.00)"
"9/29/2025","9/29/2025","9/30/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.739371","$27.05","($20.00)"
"9/29/2025","9/29/2025","9/30/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.901438","$55.47","($50.00)"
"9/29/2025","9/29/2025","9/30/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.304434","$246.36","($75.00)"
"9/29/2025","9/29/2025","9/30/2025","SPMO","Invesco S&P 500 Momentum ETF CUSIP: 46138E339 Dividend Reinvestment","Buy","0.000412","$121.11","($0.05)"
"9/29/2025","9/29/2025","9/30/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Dividend Reinvestment","Buy","0.029733","$247.53","($7.36)"
"9/26/2025","9/26/2025","9/26/2025","SPMO","Cash Div: R/D 2025-09-22 P/D 2025-09-26 - 0.283382 shares at 0.19171","CDIV","","","$0.05"
"9/26/2025","9/26/2025","9/26/2025","QQQM","Cash Div: R/D 2025-09-22 P/D 2025-09-26 - 24.332344 shares at 0.30245","CDIV","","","$7.36"
"9/26/2025","9/26/2025","9/29/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122993","$609.79","($75.00)"
"9/26/2025","9/26/2025","9/29/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.838235","$27.20","($50.00)"
"9/26/2025","9/26/2025","9/29/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.305898","$245.18","($75.00)"
"9/26/2025","9/26/2025","9/29/2025","","ACH Deposit","ACH","","","$600.00"
"9/25/2025","9/25/2025","9/26/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123857","$605.54","($75.00)"
"9/25/2025","9/25/2025","9/26/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.850631","$27.02","($50.00)"
"9/25/2025","9/25/2025","9/26/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.307566","$243.85","($75.00)"
"9/24/2025","9/24/2025","9/25/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.840359","$27.17","($50.00)"
"9/24/2025","9/24/2025","9/25/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.123191","$608.81","($75.00)"
"9/24/2025","9/24/2025","9/25/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.306084","$245.03","($75.00)"
"9/23/2025","9/23/2025","9/24/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122707","$611.21","($75.00)"
"9/23/2025","9/23/2025","9/24/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.822821","$27.43","($50.00)"
"9/23/2025","9/23/2025","9/24/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.304006","$246.70","($75.00)"
"9/22/2025","9/22/2025","9/23/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122082","$614.34","($75.00)"
"9/22/2025","9/22/2025","9/23/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.83361","$27.27","($50.00)"
"9/22/2025","9/22/2025","9/23/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.302727","$247.75","($75.00)"
"9/19/2025","9/19/2025","9/22/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.122746","$611.01","($75.00)"
"9/19/2025","9/19/2025","9/22/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","1.82826","$27.35","($50.00)"
"9/19/2025","9/19/2025","9/22/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.304445","$246.35","($75.00)"
