"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/3/2025","11/3/2025","11/4/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.287676","$260.71","($75.00)"
"10/31/2025","10/31/2025","10/31/2025","","Interest Payment","INT","","","$2.54"
"10/31/2025","10/31/2025","11/3/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119684","$626.64","($75.00)"
"10/31/2025","10/31/2025","11/3/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.750235","$26.66","($20.00)"
"10/31/2025","10/31/2025","11/3/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.896619","$55.76","($50.00)"
"10/31/2025","10/31/2025","11/3/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.290188","$258.45","($75.00)"
"10/30/2025","10/30/2025","10/31/2025","VOO","Vanguard S&P 500 ETF CUSIP: 922908363 Recurring","Buy","0.119248","$628.94","($75.00)"
"10/30/2025","10/30/2025","10/31/2025","SCHD","Schwab US Dividend Equity ETF CUSIP: 808524797 Recurring","Buy","0.746268","$26.80","($20.00)"
"10/30/2025","10/30/2025","10/31/2025","FDVV","Fidelity High Dividend ETF CUSIP: 316092840 Recurring","Buy","0.889388","$56.22","($50.00)"
"10/30/2025","10/30/2025","10/31/2025","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF CUSIP: 46138G649 Recurring","Buy","0.289018","$259.50","($75.00)"
